Stock Name,Transaction Type,Amount,Politician,Transaction Date,Filing Date
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,$456.00,"Pete Sessions
                    

                      House / R","Dec. 26, 2023","Dec. 06, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","John Curtis
                    

                      House / R","Dec. 15, 2023","Dec. 04, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        OP",Purchase,"$1,000,001 - $5,000,000","Nancy Pelosi
                    

                      House / D","Dec. 21, 2023","Nov. 22, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","HON. GREG STANTON
                    

                      House / D","Nov. 09, 2023","Oct. 24, 2023"
"NVDA


                        NVIDIA Corporation - Common Stock
                      

                        Stock",Purchase,"$1,001 - $15,000","Mullin, Markwayne
                    

                      Senate / R","Nov. 01, 2023","Oct. 03, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","HON. GREG STANTON
                    

                      House / D","Nov. 09, 2023","Sep. 26, 2023"
"NVDA


                        NVIDIA Corporation - Common Stock
                      

                        Stock",Purchase,"$15,001 - $50,000","Mullin, Markwayne
                    

                      Senate / R","Oct. 12, 2023","Sep. 13, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Pete Sessions
                    

                      House / R","Sep. 23, 2023","Sep. 12, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Oct. 15, 2023","Sep. 11, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Daniel Meuser
                    

                      House / R","Sep. 14, 2023","Aug. 14, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$100,001 - $250,000","Daniel Meuser
                    

                      House / R","Sep. 14, 2023","Aug. 14, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$15,001 - $50,000","Daniel Meuser
                    

                      House / R","Sep. 14, 2023","Aug. 14, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Sep. 16, 2023","Aug. 10, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,"$1,001 - $15,000","Michael Patrick Guest
                    

                      House / R","Aug. 23, 2023","Aug. 07, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Aug. 21, 2023","Jul. 18, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Purchase,$424.53,"Pete Sessions
                    

                      House / R","Jun. 26, 2023","Jun. 23, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$1,001 - $15,000","Josh Gottheimer
                    

                      House / D","Jul. 11, 2023","Jun. 22, 2023"
"NVDA


                        NVIDIA CORPORATION
                      

                        ST",Sale,"$250,001 - $500,000","Daniel Meuser
                    

                      House / R","Jun. 26, 2023","May. 31, 2023"
"NVDA


                        NVIDIA Corporation - Common Stock
                      

                        Stock",Sale (Partial),"$1,001 - $15,000","Carper, Thomas R.
                    

                      Senate / D","Jun. 30, 2023","May. 25, 2023"
